iter	Passed	Remaining
0	102	102396
1	103	51613
2	104	34587
3	104	26050
4	105	20933
5	105	17519
6	106	15154
7	107	13327
8	108	11903
9	108	10789
10	109	9854
11	110	9072
12	110	8410
13	111	7842
14	111	7349
15	112	6920
16	113	6541
17	113	6201
18	114	5897
19	114	5623
20	115	5375
21	115	5150
22	117	4982
23	117	4793
24	118	4617
25	118	4455
26	119	4304
27	120	4174
28	120	4047
29	121	3928
30	122	3817
31	122	3714
32	123	3616
33	124	3525
34	124	3439
35	125	3355
36	125	3275
37	126	3199
38	126	3127
39	127	3064
40	128	3000
41	128	2941
42	129	2883
43	130	2827
44	130	2772
45	131	2720
46	131	2670
47	132	2622
48	132	2576
49	133	2534
50	133	2493
51	134	2452
52	135	2418
53	135	2381
54	136	2351
55	137	2316
56	137	2281
57	138	2248
58	138	2216
59	139	2185
60	140	2155
61	140	2129
62	141	2101
63	141	2075
64	142	2049
65	143	2026
66	143	2001
67	144	1976
68	144	1953
69	145	1929
70	145	1907
71	146	1885
72	146	1864
73	147	1844
74	147	1824
75	148	1805
76	149	1786
77	149	1770
78	150	1752
79	150	1734
80	151	1717
81	151	1700
82	152	1680
83	152	1664
84	153	1649
85	153	1633
86	154	1618
87	154	1603
88	155	1589
89	155	1575
90	156	1561
91	156	1548
92	157	1535
93	157	1522
94	158	1509
95	158	1497
96	159	1484
97	159	1472
98	160	1460
99	160	1448
100	161	1437
101	162	1426
102	162	1415
103	163	1405
104	163	1395
105	164	1384
106	164	1374
107	165	1364
108	165	1354
109	166	1345
110	166	1336
111	167	1327
112	167	1318
113	168	1309
114	169	1300
115	169	1292
116	170	1283
117	170	1275
118	171	1266
119	171	1258
120	172	1251
121	172	1243
122	173	1236
123	173	1229
124	174	1221
125	175	1215
126	175	1207
127	176	1200
128	176	1193
129	177	1187
130	177	1180
131	178	1173
132	179	1166
133	179	1160
134	180	1153
135	180	1147
136	181	1141
137	181	1134
138	182	1128
139	182	1123
140	183	1117
141	183	1110
142	184	1105
143	185	1100
144	185	1094
145	186	1089
146	186	1084
147	187	1078
148	187	1073
149	188	1068
150	189	1063
151	189	1058
152	190	1053
153	190	1048
154	191	1043
155	191	1038
156	192	1033
157	193	1029
158	193	1025
159	194	1020
160	194	1015
161	195	1010
162	195	1005
163	196	1001
164	196	996
165	197	992
166	198	988
167	198	983
168	199	979
169	199	975
170	200	971
171	200	967
172	201	963
173	202	959
174	202	955
175	203	951
176	203	947
177	204	943
178	204	939
179	205	935
180	205	931
181	206	928
182	207	924
183	207	921
184	208	917
185	208	913
186	209	909
187	209	906
188	210	902
189	210	899
190	211	897
191	212	893
192	213	890
193	213	887
194	214	884
195	214	881
196	215	878
197	215	874
198	216	871
199	217	868
200	217	865
201	218	862
202	218	858
203	219	855
204	219	852
205	220	849
206	221	846
207	221	844
208	222	841
209	222	838
210	223	835
211	224	832
212	224	829
213	225	827
214	225	824
215	226	821
216	226	818
217	227	815
218	227	813
219	228	810
220	229	807
221	229	805
222	230	802
223	230	800
224	231	797
225	232	795
226	232	792
227	233	790
228	233	787
229	234	785
230	235	782
231	235	780
232	236	778
233	236	775
234	237	773
235	238	770
236	238	768
237	243	780
238	244	778
239	245	776
240	245	773
241	246	771
242	246	768
243	247	766
244	247	763
245	248	760
246	248	758
247	249	756
248	249	753
249	250	751
250	250	748
251	251	746
252	251	743
253	252	741
254	252	739
255	253	736
256	253	734
257	254	731
258	254	729
259	255	727
260	255	724
261	256	722
262	257	720
263	257	717
264	258	715
265	258	713
266	259	711
267	259	709
268	260	706
269	260	704
270	261	702
271	261	700
272	262	698
273	262	696
274	263	694
275	263	692
276	264	690
277	264	687
278	265	685
279	265	683
280	266	681
281	267	679
282	267	677
283	268	675
284	268	673
285	269	671
286	269	669
287	270	667
288	270	665
289	271	663
290	271	661
291	272	659
292	272	658
293	273	656
294	273	654
295	274	652
296	274	650
297	275	648
298	275	646
299	276	644
300	276	643
301	277	641
302	277	639
303	278	637
304	278	635
305	279	633
306	279	631
307	280	630
308	281	628
309	281	626
310	282	624
311	282	623
312	283	621
313	283	619
314	284	617
315	284	616
316	285	614
317	285	612
318	286	611
319	286	609
320	287	607
321	287	605
322	288	604
323	288	602
324	289	600
325	289	599
326	290	597
327	290	595
328	291	594
329	291	592
330	292	590
331	292	589
332	293	587
333	293	586
334	294	584
335	295	582
336	295	581
337	296	579
338	296	578
339	297	576
340	297	575
341	298	573
